animalID,breed,birthdate,sex,testdate,weight,beakfat
YYTQLS118300004,YY,2018/7/18,F,2018/12/18,95,12
YYTQLS118300007,YY,2018/7/18,M,2018/12/26,127.5,17.1
YYTQLS118300008,YY,2018/7/18,F,2018/12/17,101,13.3
YYTQLS118300016,YY,2018/7/18,F,2018/12/18,102.5,11.3
YYTQLS118300020,YY,2018/7/19,F,2018/12/18,108,13.4
YYTQLS118300022,YY,2018/7/19,F,2018/12/18,109.5,16.3
YYTQLS118300023,YY,2018/7/19,F,2018/12/18,108.5,14.5
YYTQLS118300025,YY,2018/7/19,F,2018/12/18,100,13.3
YYTQLS118300037,YY,2018/7/20,M,2018/12/20,98.5,7.8
YYTQLS118300038,YY,2018/7/20,F,2018/12/19,113,17
YYTQLS118300039,YY,2018/7/20,F,2018/12/19,103.5,15.2
YYTQLS118300040,YY,2018/7/20,F,2018/12/19,89.5,10.7
YYTQLS118300043,YY,2018/7/20,F,2018/12/26,120.5,15.5
YYTQLS118300044,YY,2018/7/20,F,2018/12/26,120.5,15.8
YYTQLS118300045,YY,2018/7/20,F,2018/12/19,116.5,13.2
YYTQLS118300046,YY,2018/7/20,F,2018/12/19,104.5,15.6
YYTQLS118300047,YY,2018/7/20,F,2018/12/17,103,14.2
YYTQLS118300048,YY,2018/7/20,F,2018/12/17,119,17.6
YYTQLS118300050,YY,2018/7/20,M,2018/12/19,115,15.5
YYTQLS118300052,YY,2018/7/20,F,2018/12/18,106.5,15.5
YYTQLS118300054,YY,2018/7/20,F,2018/12/19,110,17
YYTQLS118300056,YY,2018/7/20,F,2018/12/18,108,14.1
YYTQLS118300060,YY,2018/7/20,F,2018/12/18,119.5,15.1
YYTQLS118300065,YY,2018/7/20,M,2018/12/18,NA,NA
YYTQLS118300066,YY,2018/7/20,F,2018/12/24,127,20.3
YYTQLS118300067,YY,2018/7/20,F,2018/12/19,113,19.7
YYTQLS118300070,YY,2018/7/20,F,2018/12/24,121.5,20.1
YYTQLS118300089,YY,2018/7/21,F,2018/12/19,117.5,18.5
YYTQLS118300090,YY,2018/7/21,F,2018/12/18,112,15.9
YYTQLS118300092,YY,2018/7/21,F,2018/12/19,112.5,13.1
YYTQLS118300103,YY,2018/7/20,F,NA,NA,NA
YYTQLS118300106,YY,2018/7/20,F,2018/12/27,126.5,12.3
YYTQLS118300113,YY,2018/7/23,F,2018/12/19,104.5,12.2
YYTQLS118300114,YY,2018/7/23,F,2018/12/18,112.5,14.8
YYTQLS118300116,YY,2018/7/23,F,2018/12/19,112.5,15.7
YYTQLS118300118,YY,2018/7/22,F,NA,NA,NA
YYTQLS118300121,YY,2018/7/23,F,2018/12/19,102,11.9
YYTQLS118300122,YY,2018/7/23,F,2018/12/19,100.5,13.9
YYTQLS118300123,YY,2018/7/23,F,2018/12/19,108.5,15
YYTQLS118300124,YY,2018/7/23,M,2018/12/26,130,15.6
YYTQLS118300130,YY,2018/7/23,M,NA,NA,NA
YYTQLS118400037,YY,2018/7/23,F,2018/12/19,123,22.8
YYTQLS118400038,YY,2018/7/23,F,2018/12/24,106,13.9
YYTQLS118400041,YY,2018/7/23,F,2019/1/16,153.5,21.5
YYTQLS118400042,YY,2018/7/23,F,2018/12/19,120,14
YYTQLS118400043,YY,2018/7/23,F,2018/12/17,115,19.6
YYTQLS118400045,YY,2018/7/23,F,2018/12/17,106,16.2
YYTQLS118400047,YY,2018/7/24,M,2018/12/26,129.5,16.5
YYTQLS118400053,YY,2018/7/24,M,NA,NA,NA
YYTQLS118400058,YY,2018/7/23,F,2018/12/18,75,10.4
YYTQLS118400059,YY,2018/7/23,F,NA,NA,NA
YYTQLS118400060,YY,2018/7/23,F,2018/12/18,102,14.6
YYTQLS118400062,YY,2018/7/24,F,2018/12/19,110.5,10.9
YYTQLS118400067,YY,2018/7/24,F,2018/12/19,124.5,21.7
YYTQLS118400069,YY,2018/7/24,M,2018/12/18,112,18.3
YYTQLS118400078,YY,2018/7/23,F,2019/1/1,123,16.5
YYTQLS118400079,YY,2018/7/23,F,2018/12/19,87.5,10.7
YYTQLS118400080,YY,2018/7/23,F,2018/12/16,96,11.5
YYTQLS118400084,YY,2018/7/24,F,2018/12/19,90,12.2
YYTQLS118400086,YY,2018/7/25,F,NA,NA,NA
YYTQLS118400087,YY,2018/7/25,M,2018/12/26,131.5,20.7
YYTQLS118400089,YY,2018/7/25,M,NA,NA,NA
YYTQLS118400093,YY,2018/7/24,F,2018/12/24,108,11.7
YYTQLS118400104,YY,2018/7/25,M,2018/12/27,122.5,12.5
